121 156
108 52 58
24 108 89
61 108 11
106 61 73
113 52 67
44 24 22
8 113 12
80 108 39
39 61 70
41 113 41
16 41 5
5 39 66
31 52 85
34 52 37
47 34 80
56 31 44
98 80 84
99 16 39
86 16 70
13 44 48
22 13 32
11 106 77
104 52 41
28 39 74
9 16 68
77 86 29
70 86 50
62 52 5
105 47 46
33 86 76
18 61 13
6 9 86
3 86 25
38 104 60
64 56 89
111 41 52
69 104 64
100 69 30
45 52 17
96 11 31
121 11 82
35 86 32
14 16 19
115 96 54
92 100 78
95 33 26
37 105 31
112 95 40
81 121 82
89 16 2
60 81 17
21 28 12
50 13 6
116 69 98
65 98 82
36 9 88
26 41 6
83 104 70
20 92 13
17 69 16
107 39 93
71 107 42
32 5 75
90 13 52
109 36 99
55 21 77
1 41 43
119 24 20
48 38 70
68 44 50
57 121 28
103 112 58
43 33 32
67 48 6
2 31 57
51 100 16
117 38 100
59 20 34
25 81 16
84 109 98
54 37 90
114 38 15
120 109 80
12 25 14
72 108 39
15 52 80
85 111 31
91 108 74
19 54 42
40 52 58
49 33 18
76 9 59
118 99 83
78 55 22
97 32 91
82 31 36
75 68 97
27 31 83
87 43 54
42 14 41
93 60 63
29 27 2
53 72 20
66 72 53
79 69 51
46 93 35
30 99 68
73 60 80
58 64 2
94 42 25
110 61 50
88 94 34
4 40 94
74 119 13
63 108 56
10 66 12
7 29 41
102 21 73
23 64 87
101 67 37
62 91 46
49 13 74
34 86 86
118 24 72
111 120 26
57 28 5
27 91 81
120 76 78
121 100 29
15 19 10
79 13 70
113 33 79
17 18 53
102 10 75
77 118 83
4 39 60
3 99 22
99 73 75
54 50 71
17 121 68
9 86 80
111 9 33
77 84 29
101 52 8
96 13 29
116 13 56
49 51 77
113 32 67
70 119 98
102 11 39
11 64 31
83 40 26
34 69 19
32 8 17
113 59 1
105 81 28
47 76
7 16 73
23 16 53
26 16 26
20 16 96
40 23 43
22 16 2
28 40 21
41 23 30
27 7 28
25 22 21
15 7 3
1 22 59
13 23 39
36 13 48
43 23 63
6 13 1
17 26 100
8 6 34
24 6 91
47 40 91
10 40 52
38 15 70
29 10 99
4 16 33
42 4 1
30 41 58
37 6 4
44 7 17
34 41 40
35 47 42
2 13 55
31 37 4
18 41 88
45 40 90
19 42 39
21 2 23
9 2 53
3 31 26
14 8 53
33 14 53
11 9 58
39 14 55
46 16 81
5 33 61
12 28 22
32 22 47
6 35 76
38 12 43
34 11 33
44 47 29
4 37 1
46 47 99
13 31 2
6 47 96
26 10 88
22 20 9
15 25 92
42 5 81
35 16 10
29 35 53
25 4 18
7 13 94
45 38 12
28 30 91
27 19 74
38 21 32
24 9 90
25 47 56
38 4 29
44 35 23
40 38 17
42 2 93
23 14 91
20 42 89
46 38 90
46 6 71
5 8
1 3 98
5 3 57
2 1 18
4 5 3
3 2 31
3 4 89
1 4 15
5 2 15
84 88
28 10 90
60 28 1
62 60 60
68 60 91
4 62 29
38 62 9
40 10 3
11 28 64
81 62 60
2 28 64
74 2 24
49 81 82
75 62 61
58 38 66
33 60 65
31 11 66
77 75 42
22 38 28
69 22 99
41 31 44
66 31 87
1 81 91
20 1 98
82 74 94
45 68 16
76 28 35
78 45 54
47 41 42
19 76 11
34 77 54
26 66 30
14 60 61
29 4 75
15 26 68
55 74 45
39 41 84
84 49 37
44 31 60
67 75 65
63 2 63
35 82 58
52 44 67
17 44 81
48 2 40
18 29 67
61 68 79
46 2 86
36 52 29
8 38 100
64 18 79
21 22 75
6 81 54
24 1 95
57 60 41
83 67 23
37 31 61
56 33 87
51 76 29
43 28 88
70 83 91
32 78 67
53 44 25
13 8 55
9 55 54
23 74 97
50 4 56
73 66 63
16 38 44
79 53 62
54 82 71
5 9 29
30 8 88
7 15 17
59 84 80
71 68 24
25 45 66
27 52 10
3 27 97
65 25 60
42 9 35
12 37 100
80 50 98
72 23 41
60 75 70
60 2 39
46 81 47
46 51 69
1 9 25
95 144
27 77 36
49 77 50
87 77 92
38 27 73
76 27 89
56 77 45
22 77 59
59 77 20
39 77 44
78 76 82
10 78 10
55 38 16
81 27 85
60 77 10
57 81 9
37 49 70
63 87 4
48 77 34
73 60 96
9 56 32
51 81 57
25 57 65
54 22 29
14 55 97
65 87 13
71 59 27
89 71 3
8 55 95
46 60 44
36 81 55
75 57 34
69 81 32
53 55 23
32 39 34
31 60 37
85 37 21
13 39 58
82 59 2
16 65 79
3 75 89
4 85 9
7 65 66
47 75 97
11 85 77
21 89 35
61 59 63
62 55 23
1 62 11
84 51 35
28 78 22
80 25 46
64 22 45
35 36 15
40 75 23
92 48 5
74 57 64
33 16 53
30 78 30
17 63 7
66 11 80
34 30 21
86 81 72
6 60 32
42 25 86
52 87 88
90 81 65
18 71 94
41 4 39
44 89 26
94 11 100
29 25 6
68 44 7
72 89 94
20 10 43
58 30 95
26 6 63
19 13 60
43 59 55
5 61 51
2 52 79
88 81 72
70 84 90
50 47 100
67 2 92
24 56 70
83 49 99
93 27 21
15 43 59
91 94 42
12 34 74
95 84 73
45 37 45
79 70 77
23 61 66
21 12 83
72 27 34
49 80 59
38 49 27
54 76 35
25 58 92
84 45 71
7 6 64
51 13 60
54 21 27
62 87 8
81 31 32
85 52 3
2 84 93
24 48 57
59 16 67
44 53 3
38 17 74
84 59 76
27 1 72
76 31 22
68 14 25
90 1 71
71 31 70
47 65 81
45 23 64
22 79 9
33 29 55
94 54 35
66 92 86
79 87 94
69 31 29
58 2 1
48 1 94
44 76 77
70 95 58
1 10 44
16 37 88
87 22 74
82 84 99
36 73 84
19 31 63
7 41 88
3 51 24
93 81 34
29 71 23
94 73 49
80 55 9
4 34 43
59 23 93
270 276
47 54 28
